Artist_Name,Song_Count,Avg_Danceability,Avg_Energy,Avg_Loudness,Avg_Speechiness,Avg_Acousticness,Avg_Instrumentalness,Avg_Liveness,Avg_Valence
Taylor Swift,50,0.61858,0.66952,-6.3394200000000005,0.081952,0.12389125999999999,0.0005879564,0.135852,0.488982
P!nk,47,0.6159787234042553,0.7506170212765958,-4.8176595744680855,0.05876595744680851,0.08585125744680851,0.00019797063829787238,0.14420212765957446,0.5383191489361702
Elvis Presley,46,0.5364782608695652,0.5149586956521739,-11.328065217391304,0.05739565217391305,0.6262714130434783,0.006155706086956521,0.25494782608695654,0.7118913043478261
The Beatles,40,0.5325641025641026,0.5961282051282051,-8.779384615384616,0.04106410256410256,0.32791333333333333,0.024236093333333333,0.20896153846153845,0.6801794871794872
Ed Sheeran,40,0.663275,0.5085975,-7.720175,0.05465250000000001,0.44441325000000004,0.00016355974999999998,0.16040000000000001,0.499125
U2,39,0.5164871794871795,0.6967179487179488,-8.511641025641026,0.036156410256410254,0.06318946666666667,0.07326808974358974,0.18353333333333333,0.4199051282051282
Madonna,35,0.6973142857142857,0.7445714285714286,-7.230371428571428,0.04345142857142857,0.19004205714285716,0.042067983142857146,0.1413142857142857,0.6317085714285714
The Rolling Stones,33,0.5767272727272728,0.7424242424242424,-7.773151515151516,0.05995757575757576,0.26161181818181817,0.0869195715151515,0.1830969696969697,0.6933636363636364
Queen,31,0.5247096774193548,0.5987096774193548,-7.384709677419355,0.0678516129032258,0.26697741935483876,0.020985179032258064,0.2678516129032258,0.4373548387096774
INXS,30,0.6549666666666667,0.7213999999999999,-6.463466666666666,0.05645666666666667,0.03911589666666667,0.171783842,0.11832,0.5639666666666667
Bee Gees,30,0.5402,0.5140333333333333,-10.592533333333334,0.034326666666666665,0.23294123333333333,0.019678660666666667,0.25906333333333337,0.6158333333333333
Katy Perry,30,0.6356333333333333,0.7739333333333334,-4.591666666666667,0.05545666666666667,0.060219869999999995,4.001666666666667e-06,0.21206000000000003,0.6077
Kylie Minogue,29,0.6724827586206896,0.8087586206896552,-6.300793103448276,0.05611379310344827,0.07794769310344828,0.12141421793103449,0.13725862068965516,0.7046896551724138
Elton John,28,0.5782222222222222,0.5492962962962963,-10.36237037037037,0.03843333333333333,0.2983585185185185,0.006929984444444444,0.113,0.589925925925926
Britney Spears,27,0.7272962962962963,0.7447777777777778,-4.990925925925926,0.06402222222222222,0.19813374074074072,0.005710198518518518,0.20721851851851852,0.7113703703703704
Powderfinger,27,0.36577777777777776,0.7414814814814815,-5.391814814814815,0.04588518518518518,0.007773377777777778,0.009963972222222221,0.20477037037037035,0.4266740740740741
Justin Bieber,27,0.6397407407407407,0.586037037037037,-7.196518518518519,0.10411111111111111,0.3934851851851852,0.00020409333333333335,0.18154444444444445,0.5153333333333333
Bon Jovi,27,0.4721851851851852,0.846111111111111,-4.44662962962963,0.04348518518518518,0.05773179259259259,0.0031089770370370372,0.23008518518518517,0.5552222222222222
Maroon 5,27,0.6739259259259259,0.7111481481481482,-5.393629629629629,0.038144444444444446,0.13734022222222222,1.3398888888888887e-05,0.10155925925925925,0.6215555555555555
Kelly Clarkson,25,0.54436,0.77732,-4.8174,0.0555,0.09160131999999999,0.0057687272000000005,0.126788,0.422644
Imagine Dragons,25,0.58168,0.7722,-4.62708,0.07649199999999999,0.10826240000000001,0.0184442596,0.25370000000000004,0.463168
Foo Fighters,25,0.40932,0.8906399999999999,-4.63644,0.052428,0.015976880000000002,0.0006853652,0.146788,0.44076
Rihanna,25,0.64068,0.7006,-5.65156,0.082276,0.1419358,0.008031956,0.170024,0.55328
Adele,24,0.545375,0.5065000000000001,-6.577625,0.041475,0.4313241666666667,1.7057083333333333e-05,0.117825,0.3323083333333333
Eminem,24,0.7975416666666666,0.7792500000000001,-3.6787083333333332,0.2087416666666667,0.12131791666666668,9.580708333333334e-05,0.20002916666666667,0.5613916666666666
Jessica Mauboy,24,0.6651250000000001,0.7307083333333333,-4.665333333333334,0.09654583333333333,0.11216733333333334,2.3701666666666667e-05,0.19809583333333333,0.5769333333333333
Jason Derulo,23,0.6176956521739131,0.7516521739130435,-4.755826086956522,0.0986,0.08325495652173913,3.7752173913043474e-06,0.16688695652173913,0.5791304347826087
Lady Gaga,23,0.6817391304347826,0.7817826086956522,-4.897913043478261,0.06443913043478261,0.06403282608695653,0.0018095391304347827,0.21059999999999998,0.5540869565217391
Guy Sebastian,22,0.6073181818181819,0.6828636363636363,-4.658227272727273,0.0790090909090909,0.18780227272727276,8.490454545454546e-06,0.13796363636363637,0.49558636363636366
One Direction,22,0.6312727272727273,0.7702727272727273,-4.189818181818182,0.055404545454545456,0.09721,0.0,0.14821818181818183,0.5776818181818182
